t,x,y,z
5.802971657E0,9.564111710E0,-2.237289101E-1,2.124228239E0
5.805348428E0,9.573683739E0,-2.045863420E-1,2.105085611E0
5.807725146E0,9.588040352E0,-1.998006850E-1,2.100300074E0
5.810101865E0,9.593423843E0,-1.902294010E-1,2.071586132E0
5.812478584E0,9.598209381E0,-1.902294010E-1,2.048256159E0
5.814855303E0,9.594022751E0,-2.141576260E-1,2.009372711E0
5.817232073E0,9.584450722E0,-1.992024779E-1,1.980658889E0
5.819608792E0,9.570692062E0,-2.039881349E-1,1.951945066E0
5.821985511E0,9.570692062E0,-2.087737769E-1,1.918445587E0
5.824362230E0,9.552147865E0,-1.896311939E-1,1.889731646E0
5.826738948E0,9.528220177E0,-1.848455518E-1,1.874776483E0
5.829115719E0,9.533005714E0,-1.848455518E-1,1.850848317E0
5.831492438E0,9.499505997E0,-1.800599098E-1,1.841277003E0
5.833869157E0,9.499505997E0,-1.944168359E-1,1.850848317E0
5.836245875E0,9.513862610E0,-1.896311939E-1,1.869990945E0
5.838622594E0,9.523433685E0,-1.704886109E-1,1.884347796E0
5.840999365E0,9.528220177E0,-1.609173268E-1,1.884945989E0
5.843376084E0,9.532406807E0,-1.752742529E-1,1.904088616E0
5.845752803E0,9.561120987E0,-1.657029688E-1,1.913659930E0
5.848129521E0,9.551549911E0,-1.896311939E-1,1.918445587E0
5.850506240E0,9.565906525E0,-1.615155339E-1,1.942373753E0
5.852883011E0,9.594620705E0,-1.704886109E-1,1.952543259E0
5.855259730E0,9.598808289E0,-1.710868180E-1,1.962114573E0
5.857636448E0,9.594022751E0,-1.615155339E-1,1.971685886E0
5.860013167E0,9.603593826E0,-1.663011760E-1,1.981257200E0
5.862389886E0,9.598808289E0,-1.758724600E-1,1.995614052E0
5.864766605E0,9.627521515E0,-1.615155339E-1,2.005185366E0
5.867143375E0,9.608379364E0,-1.758724600E-1,2.014756680E0
5.869520094E0,9.617352486E0,-1.615155339E-1,2.029113531E0
5.871896813E0,9.617352486E0,-1.758724600E-1,2.024327993E0
5.874273532E0,9.617352486E0,-1.806581169E-1,2.053041935E0
5.876650250E0,9.612566948E0,-1.902294010E-1,2.072184324E0
5.879027021E0,9.593423843E0,-1.998006850E-1,2.071586132E0
5.881403740E0,9.611968994E0,-2.045863420E-1,2.086541414E0
5.883780459E0,9.611968994E0,-2.189432681E-1,2.085943222E0
5.886157178E0,9.611968994E0,-2.093719840E-1,2.081755638E0
5.888533896E0,9.602396965E0,-2.045863420E-1,2.090728760E0
5.890910667E0,9.611968994E0,-2.285145670E-1,2.085943222E0
5.893287386E0,9.592825890E0,-2.428714931E-1,2.100300074E0
5.895664105E0,9.564710617E0,-2.572284341E-1,2.080559254E0
5.898040823E0,9.578469276E0,-2.428714931E-1,2.090728760E0
5.900417542E0,9.559326172E0,-2.476571500E-1,2.090130568E0
5.902794313E0,9.554540634E0,-2.620140910E-1,2.099701881E0
5.905171032E0,9.559326172E0,-2.715853751E-1,2.094916344E0
5.907547750E0,9.559326172E0,-2.763710022E-1,2.094916344E0
5.909924469E0,9.559326172E0,-2.907279432E-1,2.114058733E0
5.912301188E0,9.578469276E0,-3.002992272E-1,2.109273195E0
5.914677959E0,9.559925079E0,-3.050848842E-1,2.094916344E0
5.917054678E0,9.564710617E0,-3.236292601E-1,2.103889227E0
5.919431396E0,9.540184021E0,-3.002992272E-1,2.103889227E0
5.921808115E0,9.545567513E0,-3.140579760E-1,2.084746838E0
5.924184834E0,9.540781975E0,-2.907279432E-1,2.070389748E0
5.926561605E0,9.545567513E0,-2.997010350E-1,2.070389748E0
5.928938323E0,9.540781975E0,-2.949153781E-1,2.060818434E0
5.931315042E0,9.540781975E0,-2.901297510E-1,2.056032896E0
5.933691761E0,9.541379929E0,-2.997010350E-1,2.036890268E0
5.936068480E0,9.531808853E0,-2.949153781E-1,2.032104731E0
5.938445198E0,9.531210899E0,-2.715853751E-1,2.051247120E0
5.940821969E0,9.531808853E0,-2.757728100E-1,2.027318954E0
5.943198688E0,9.527023315E0,-2.709871531E-1,2.022533417E0
5.945575407E0,9.521639824E0,-2.667997181E-1,2.036890268E0
5.947952125E0,9.527023315E0,-2.614158690E-1,2.018345833E0
5.950328896E0,9.541379929E0,-2.518445849E-1,2.008774519E0
5.952705615E0,9.527023315E0,-2.333002090E-1,2.003988981E0
5.955082334E0,9.526425362E0,-2.237289101E-1,2.032702923E0
5.957459053E0,9.526425362E0,-2.141576260E-1,2.023131609E0
5.959835771E0,9.540781975E0,-2.093719840E-1,2.037488461E0
5.962212542E0,9.540781975E0,-2.093719840E-1,2.051845312E0
5.964589261E0,9.531210899E0,-1.902294010E-1,2.061416626E0
5.966965980E0,9.559326172E0,-2.093719840E-1,2.090728760E0
5.969342698E0,9.559326172E0,-2.141576260E-1,2.105085611E0
5.971719417E0,9.568898201E0,-1.998006850E-1,2.119442701E0
5.974096136E0,9.553942680E0,-2.003988922E-1,2.138585329E0
5.976472907E0,9.568299294E0,-2.003988922E-1,2.176870346E0
5.978849625E0,9.553942680E0,-2.003988922E-1,2.176870346E0
5.981226344E0,9.567701340E0,-2.099701911E-1,2.210369825E0
5.983603063E0,9.558130264E0,-2.099701911E-1,2.234298229E0
5.985979782E0,9.553344727E0,-2.003988922E-1,2.224726915E0
5.988356553E0,9.538987160E0,-1.956132501E-1,2.239083767E0
5.990733271E0,9.547960281E0,-1.860419661E-1,2.239083767E0
5.993109990E0,9.538389206E0,-1.818545163E-1,2.258226395E0
5.995486709E0,9.557532310E0,-1.722832322E-1,2.248655081E0
5.997863428E0,9.562317848E0,-1.818545163E-1,2.258226395E0
6.000240198E0,9.562317848E0,-1.722832322E-1,2.253440619E0
6.002616917E0,9.562317848E0,-1.531406492E-1,2.253440619E0
6.004993636E0,9.557532310E0,-1.339980662E-1,2.244467735E0
6.007370355E0,9.567103386E0,-1.435693651E-1,2.239681959E0
6.009747073E0,9.552745819E0,-1.339980662E-1,2.234896421E0
6.012123792E0,9.553344727E0,-1.292124242E-1,2.215753794E0
6.014500563E0,9.543772697E0,-1.148554832E-1,2.215753794E0
6.016877282E0,9.543772697E0,-1.244267747E-1,2.191227436E0
6.019254000E0,9.558130264E0,-1.286142170E-1,2.177468538E0
6.021630719E0,9.558728218E0,-1.142572835E-1,2.148754835E0
6.024007490E0,9.563513756E0,-1.046859920E-1,2.120040894E0
6.026384209E0,9.544969559E0,-1.046859920E-1,2.110469580E0
6.028760928E0,9.544969559E0,-9.511470050E-2,2.096112728E0
6.031137646E0,9.544969559E0,-8.554340899E-2,2.072184324E0
6.033514365E0,9.545567513E0,-8.075776696E-2,2.048256159E0
6.035891136E0,9.525827408E0,-7.118647546E-2,2.053041935E0
6.038267855E0,9.502496719E0,-8.075776696E-2,2.042872429E0
6.040644573E0,9.507282257E0,-6.640082598E-2,2.029113531E0
6.043021292E0,9.516854286E0,-6.161518395E-2,2.033899307E0
6.045398011E0,9.521639824E0,-4.725824669E-2,2.033899307E0
6.047774782E0,9.516854286E0,-7.118647546E-2,2.029113531E0
6.050151500E0,9.521639824E0,-5.682953820E-2,2.029113531E0
6.052528219E0,9.530612946E0,-3.768695518E-2,2.038684845E0
6.054904938E0,9.516255379E0,-3.290131316E-2,2.038684845E0
6.057281657E0,9.501898766E0,-1.914258115E-2,2.062613010E0
6.059658375E0,9.487542152E0,-9.571290575E-3,2.072184324E0
6.062035146E0,9.497113228E0,-9.571290575E-3,2.072184324E0
6.064411865E0,9.496515274E0,-1.435693540E-2,2.100898266E0
6.066788584E0,9.501300812E0,-2.392822690E-2,2.110469580E0
6.069165303E0,9.515657425E0,-9.571290575E-3,2.110469580E0
6.071542073E0,9.510871887E0,1.435693540E-2,2.130210400E0
6.073918792E0,9.519845009E0,0.000000000E0,2.144567251E0
6.076295511E0,9.529416084E0,-4.785645287E-3,2.158924341E0
6.078672230E0,9.534201622E0,-1.914258115E-2,2.178066730E0
6.081048948E0,9.538987160E0,-5.982056609E-4,2.182852507E0
6.083425667E0,9.529416084E0,-5.383851007E-3,2.182852507E0
6.085802438E0,9.538389206E0,4.187439568E-3,2.221137524E0
